FID;API;Operator;Well_Name;Dir_Status;MD;TVD;Deviation;Field_Code;Field_Name
86;10967800;BLUE CHIP OIL INC;STONEHOCKER 12-8H;Actual;9120;8747;Directional;77900;SPINDLE
87;10967900;BLUE CHIP OIL INC;STONEHOCKER 11-8H;Actual;8924;8626;Directional;77900;SPINDLE
88;10968300;GREAT WESTERN OPERATING COMPANY LLC;PARTERRE 25-16;Actual;8380;8144;Directional;77900;SPINDLE
89;10968400;GREAT WESTERN OPERATING COMPANY LLC;PARTERRE 23-16;Actual;8300;8169;Directional;77900;SPINDLE
90;10968500;GREAT WESTERN OPERATING COMPANY LLC;PARTERRE 13-16;Actual;8870;8740;Directional;77900;SPINDLE
91;10968600;GREAT WESTERN OPERATING COMPANY LLC;PARTERRE 12-16;Actual;8628;8543;Directional;77900;SPINDLE
92;10968700;GREAT WESTERN OPERATING COMPANY LLC;PARTERRE 22-16;Actual;8268;9167;Directional;77900;SPINDLE
93;10968800;GREAT WESTERN OPERATING COMPANY LLC;PARTERRE 14-16;Actual;8694;8556;Directional;77900;SPINDLE
94;10968900;GREAT WESTERN OPERATING COMPANY LLC;PARTERRE 11-16;Actual;8605;8544;Directional;77900;SPINDLE
95;10969200;COLORADO INTERSTATE GAS COMPANY LLC;TOTEM 12;Actual;9200;7309;Horizontal;83000;TOTEM
96;10969300;COLORADO INTERSTATE GAS COMPANY LLC;TOTEM 19;Actual;9067;7297;Horizontal;83000;TOTEM
97;10969500;COLORADO INTERSTATE GAS COMPANY LLC;TOTEM 13;Actual;9455;7292;Horizontal;83000;TOTEM
98;10969600;COLORADO INTERSTATE GAS COMPANY LLC;TOTEM 14;Actual;8923;7279;Horizontal;83000;TOTEM
99;10970300;COLORADO INTERSTATE GAS COMPANY LLC;TOTEM 4;Actual;9180;7302;Horizontal;83000;TOTEM
100;10970400;COLORADO INTERSTATE GAS COMPANY LLC;TOTEM 5;Actual;9155;7270;Horizontal;83000;TOTEM
